"profile_1_id","profile_2_id","created_at","expires_at","location_score"
3079,3462,2025-03-05 15:26:59.247 +0000,2025-03-12 15:26:59.252 +0000,0.16666667000000002
3079,3462,2025-03-05 15:26:59.247 +0000,2025-03-12 15:26:59.252 +0000,0.16666667000000002
3079,1028,2025-03-05 15:27:54.893 +0000,2025-03-12 15:27:54.899 +0000,0.19999999999999996
3079,1028,2025-03-05 15:27:54.893 +0000,2025-03-12 15:27:54.899 +0000,0.19999999999999996
3564,1474,2025-02-26 21:59:13.761 +0000,2025-03-05 21:59:13.766 +0000,0.15918479325958282
3085,2136,2025-02-27 13:15:45.420 +0000,2025-03-06 13:15:45.426 +0000,0.2
3594,2394,2025-02-27 14:34:00.790 +0000,2025-03-06 14:34:00.795 +0000,0.19999999999999998
3071,1483,2025-03-02 06:55:14.751 +0000,2025-03-09 06:55:14.756 +0000,0.03731145391938794
3734,3713,2025-03-02 14:33:35.222 +0000,2025-03-09 14:33:35.226 +0000,0.06613465720999491
3764,3523,2025-03-03 10:38:32.563 +0000,2025-03-10 10:38:32.570 +0000,0.16666666999999977
3764,3523,2025-03-03 10:38:32.563 +0000,2025-03-10 10:38:32.570 +0000,0.16666666999999977
3739,3642,2025-03-03 11:57:59.548 +0000,2025-03-10 11:57:59.552 +0000,0.14898520686218167
3739,3642,2025-03-03 11:57:59.548 +0000,2025-03-10 11:57:59.552 +0000,0.1489852068621817
3055,1232,2025-03-03 13:27:12.824 +0000,2025-03-10 13:27:12.830 +0000,0.1999999999999999
3055,1232,2025-03-03 13:27:12.824 +0000,2025-03-10 13:27:12.830 +0000,0.1999999999999999
3773,3311,2025-03-03 14:45:04.398 +0000,2025-03-10 14:45:04.403 +0000,0.16583088869924129
3773,3311,2025-03-03 14:45:04.398 +0000,2025-03-10 14:45:04.403 +0000,0.16583088869924129
3773,2714,2025-03-03 14:47:06.583 +0000,2025-03-10 14:47:06.589 +0000,0.023959236683510528
3773,2714,2025-03-03 14:47:06.583 +0000,2025-03-10 14:47:06.589 +0000,0.028751083445190985
3734,3743,2025-03-03 16:48:17.789 +0000,2025-03-10 16:48:17.797 +0000,0.16666667
3777,927,2025-03-03 17:27:35.978 +0000,2025-03-10 17:27:35.983 +0000,0.12576576121547617
2728,1065,2025-03-04 11:27:07.895 +0000,2025-03-11 11:27:07.900 +0000,0.105766703677013
481,2347,2025-03-05 13:01:45.755 +0000,2025-03-12 13:01:45.760 +0000,0.01066540488204101
2020,3833,2025-03-05 15:28:02.843 +0000,2025-03-12 15:28:02.848 +0000,0.17905780054184603
1330,3205,2025-03-04 08:15:50.675 +0000,2025-03-11 08:15:50.680 +0000,0.20000000000000007
